Building,Level,Location,Instructions
Specialist & Daily Treatment Complex (SCACC),Level 7,Information Technology Unit,"1. From the main entrance of SCACC, go to the elevator located in the middle behind the inquiry counter. 2. Go up to Level 7. 3. Turn left, then right. 4. Go straight until you arrive at the Information Technology Unit."
Specialist & Daily Treatment Complex (SCACC),Level 7,Seminar Room Central Simulation & Skills Training,"1. From the main entrance of SCACC, go to the elevator located in the middle behind the inquiry counter. 2. Go up to Level 7. 3. Turn left, then right. 4. Go straight until you reach the Seminar Room Central Simulation & Skills Training."
Specialist & Daily Treatment Complex (SCACC),Level 7,Anesthesia & Pain Management Clinic,"1. From the main entrance of SCACC, go to the elevator located in the middle behind the inquiry counter. 2. Go up to Level 7. 3. Turn right. 4. You will find the Anesthesia & Pain Management Clinic."
Specialist & Daily Treatment Complex (SCACC),Level 7,Endoscopy & Day Treatment Unit,"1. From the main entrance of SCACC, go to the elevator located in the middle behind the inquiry counter. 2. Go up to Level 7. 3. Turn right, then right again. 4. Go straight, and you will find the Endoscopy & Day Treatment Unit."
Specialist & Daily Treatment Complex (SCACC),Level 8,Sterile Supply Unit (TSSU),"1. From the main entrance of SCACC, go to the elevator located in the middle behind the inquiry counter. 2. Go up to Level 8. 3. Turn right, then right again. 4. Go straight to the end, and you will find the Sterile Supply Unit (TSSU)."
Specialist & Daily Treatment Complex (SCACC),Level 8,RHU,
Specialist & Daily Treatment Complex (SCACC),Level 8,Operating Theatre,"1. From the main entrance of SCACC, go to the elevator located in the middle behind the inquiry counter. 2. Go up to Level 8. 3. Turn left, then right. 4. You will find the Operating Theatre."
Specialist & Daily Treatment Complex (SCACC),Level 8,Geriatric Interdisciplinary Clinic,"1. From the main entrance of SCACC, go to the elevator located in the middle behind the inquiry counter. 2. Go up to Level 8. 3. Turn right, then left. 4. Go straight until you find the Geriatric Interdisciplinary Clinic."
Specialist & Daily Treatment Complex (SCACC),Level 8,Daily Medical Treatment Unit,"1. From the main entrance of SCACC, go to the elevator located in the middle behind the inquiry counter. 2. Go up to Level 8. 3. Turn right. 4. You will find the Daily Medical Treatment Unit."
Specialist & Daily Treatment Complex (SCACC),Level 8,Daily Treatment Registration Unit,"1. From the main entrance of SCACC, go to the elevator located in the middle behind the inquiry counter. 2. Go up to Level 8. 3. Turn right, then right again. 4. Go straight, and you will find the Daily Treatment Registration Unit."
Specialist & Daily Treatment Complex (SCACC),Level 8,Daily Surgical Treatment Unit,"1. From the main entrance of SCACC, go to the elevator located in the middle behind the inquiry counter. 2. Go up to Level 8. 3. Turn right, then right again. 4. Go straight until you reach the Daily Surgical Treatment Unit."
